기준_년분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,총_유동인구_수,남성_유동인구_수,여성_유동인구_수,연령대_10_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,연령대_50_유동인구_수,연령대_60_이상_유동인구_수,시간대_00_06_유동인구_수,시간대_06_11_유동인구_수,시간대_11_14_유동인구_수,시간대_14_17_유동인구_수,시간대_17_21_유동인구_수,시간대_21_24_유동인구_수,월요일_유동인구_수,화요일_유동인구_수,수요일_유동인구_수,목요일_유동인구_수,금요일_유동인구_수,토요일_유동인구_수,일요일_유동인구_수
20241,A,골목상권,3110150,중곡1동 마을마당,1850301,898326,951975,198540,339759,381008,290030,259072,381891,567092,393608,187275,178351,271175,252800,257759,261749,259887,261727,261832,270631,276717
20241,A,골목상권,3110151,자양한강도서관,1412738,669914,742824,244381,181221,240069,248975,203557,294537,431388,294501,143544,139728,211081,192495,199731,197727,195168,198998,197012,209799,214304
20241,A,골목상권,3110152,중곡어린이공원,257609,127115,130494,37956,32773,45434,39586,43638,58224,90999,54697,23393,22041,31637,34842,35742,36654,36113,36889,36445,37793,37976
20241,A,골목상권,3110153,중곡1동주민센터,308119,146250,161871,30298,64538,67043,47688,42305,56247,76743,60711,35247,36259,57366,41794,43047,43789,44093,44137,44401,44595,44055
20241,A,골목상권,3110154,광진정말공원,1686476,803076,883398,226096,245085,275184,272915,263325,403868,486548,343448,178265,178208,266810,233195,237143,237316,232595,238249,236323,249157,255692
20241,A,골목상권,3110155,광진구청,1031052,480916,550135,158372,307917,185899,140667,115939,122258,266692,227058,135440,130375,151997,119491,151316,155929,156519,155486,144665,130778,136358
20241,A,골목상권,3110156,군자역 5번,937229,433193,504037,106575,206013,215779,139882,118148,150831,306567,196138,91863,87768,126078,128813,133298,134759,131323,133652,131151,134866,138178
20241,A,골목상권,3110157,자양동우체국,1529371,718879,810492,295667,190794,251959,262368,196881,331702,465955,318818,152810,152320,230880,208586,219262,214824,215509,213877,213991,222656,229253
20241,A,골목상권,3110158,중곡3동주민센터,2921687,1361083,1560604,354888,390341,512406,418349,485583,760119,909988,590364,282920,282450,442619,413346,409937,408628,406742,406454,408633,432676,448616
20241,A,골목상권,3110159,구의역 4번,3635654,1723542,1912113,410781,627860,642239,563888,558535,832352,970092,746423,413411,415352,609603,480773,523829,516037,517993,512406,511460,524232,529697
20241,A,골목상권,3110160,광진경찰서,497923,241977,255946,78970,84896,90476,81106,74449,88025,154696,109585,53262,48005,68600,63775,71489,71801,69988,71722,69159,70188,73576
20241,A,골목상권,3110161,중곡역 3번,702162,328958,373204,84968,87442,120181,102305,122817,184450,185934,140042,81278,81646,119640,93622,98859,99135,97435,98553,98015,103022,107144
20241,A,골목상권,3110162,군자역 4번,411205,190094,221110,67454,59318,73733,68533,59393,82775,133576,86626,39478,37747,57033,56746,57831,58650,56970,58469,57442,59451,62391
20241,A,골목상권,3110163,성자초등학교,582881,271151,311729,110287,67050,94330,91356,84713,135143,162234,124494,64710,64480,91867,75096,84933,83149,83330,82791,82093,82884,83702
20241,A,골목상권,3110164,아차산역 5번,447012,194373,252639,73709,71681,87728,66974,54710,92208,102903,93922,58946,58977,76562,55703,64153,64983,63992,63885,63242,63286,63472
20241,A,골목상권,3110165,국립정신건강센터,787063,366965,420098,125166,101197,139824,123131,129701,168042,257372,168334,76147,69338,104820,111049,112721,114162,112831,112990,112547,109284,112528
20241,A,골목상권,3110166,구의1동주민센터,1854172,871985,982187,167477,414863,371135,272117,265134,363445,556409,382494,194269,188878,285473,246649,264570,263661,261207,265713,259833,268818,270369
20241,A,골목상권,3110167,용마초등학교,1710638,784709,925929,299046,238393,278210,265738,258357,370895,545777,364610,170175,159728,237507,232844,245323,243692,235833,242284,239565,245815,258128
20241,A,골목상권,3110168,대원고등학교,437195,199234,237960,95830,49260,67535,65854,67722,90995,99483,96417,59007,54254,74882,53151,63519,63462,63185,63276,62370,59595,61788
20241,A,골목상권,3110169,성동초등학교,635359,315049,320310,85844,100852,116707,91279,102496,138180,162546,141309,76722,74989,101609,78183,91997,91373,92034,91815,92104,89128,86906
20241,A,골목상권,3110170,동대부여고,2357674,1066466,1291208,298580,428594,445988,369618,354400,460495,800865,507534,220301,202734,309681,316557,336099,334662,327936,331861,326745,343333,357037
20241,A,골목상권,3110171,중곡4동주민센터,385326,184812,200514,44743,46249,57912,55989,73267,107166,139651,81903,33260,29890,46515,54106,54676,55011,53566,54483,54251,55810,57530
20241,A,골목상권,3110172,광진초등학교,1020315,456638,563677,186933,130947,160577,175126,152094,214636,288018,214826,109840,108445,158942,140243,145293,147400,144327,146369,143557,145206,148165
20241,A,골목상권,3110173,구남초등학교,308943,152964,155979,35357,43174,54788,46221,56257,73146,87677,69351,35458,33000,44638,38819,45088,44016,43948,43948,43170,44309,44465
20241,A,골목상권,3110174,아차산역 1번,825194,363271,461923,127586,96233,112261,129082,127048,232985,234265,166100,85445,88386,136430,114571,115556,115104,113447,114873,115665,123528,127023
20241,A,골목상권,3110175,푸른동산공원,1074895,503662,571234,184808,179675,179374,184950,163367,182721,289840,221002,123678,126157,179064,135154,154416,152679,153758,152295,151401,153280,157065
20241,A,골목상권,3110176,해오름공원,1192332,550998,641333,134949,145608,169595,167889,215368,358922,359193,236605,121822,123856,187655,163200,165702,165989,164036,166246,166718,177856,185785
20241,A,골목상권,3110177,동의초등학교,122751,56324,66425,20453,13947,17335,20824,18744,31446,37922,26285,12539,12022,17822,16162,16782,16863,16565,17057,17053,18840,19591
20241,A,골목상권,3110178,장로회신학대학교,345090,149618,195473,58535,49593,48932,61799,52012,74218,90071,74662,44684,40723,53389,41562,48132,48571,47875,49667,47407,50280,53159
20241,A,골목상권,3110179,광나루역 1번,391185,168463,222724,69752,54639,54374,71064,59048,82309,109449,84931,49627,45101,55147,46931,55962,56911,55994,58884,55310,53551,54572
20241,A,골목상권,3110180,광진정보도서관,230681,108214,122468,22150,31123,35082,43189,42637,56499,49176,47373,33718,34267,41951,24197,33168,33505,33860,34293,33883,33000,28974
20241,A,골목상권,3110181,신설동역 9번,1183249,593624,589624,96892,202603,226566,212961,180912,263315,225657,257414,194226,189752,194517,121682,169361,169653,177399,172937,171994,160138,161766
20241,A,골목상권,3110182,용두희망어린이공원,1014443,518566,495877,131074,273037,148406,143969,134288,183670,267352,217526,128772,119520,158066,123208,146470,148971,148587,149128,144978,136945,139362
20241,A,골목상권,3110183,한국의류시험연구원,632232,294637,337595,59183,131433,117095,97339,96056,131128,120351,135979,96667,94284,115022,69930,93707,93673,95848,92949,92030,83559,80468
20241,A,골목상권,3110184,용두사거리,325132,155088,170043,26142,71352,61254,50970,49956,65458,72701,67104,44139,43077,58123,39986,46512,47477,47937,47562,47312,44758,43573
