기준_년분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,총_직장_인구_수,남성_직장_인구_수,여성_직장_인구_수,연령대_10_직장_인구_수,연령대_20_직장_인구_수,연령대_30_직장_인구_수,연령대_40_직장_인구_수,연령대_50_직장_인구_수,연령대_60_이상_직장_인구_수,남성연령대_10_직장_인구_수,남성연령대_20_직장_인구_수,남성연령대_30_직장_인구_수,남성연령대_40_직장_인구_수,남성연령대_50_직장_인구_수,남성연령대_60_이상_직장_인구_수,여성연령대_10_직장_인구_수,여성연령대_20_직장_인구_수,여성연령대_30_직장_인구_수,여성연령대_40_직장_인구_수,여성연령대_50_직장_인구_수,여성연령대_60_이상_직장_인구_수
20241,A,골목상권,3110119,마장지하차도,327,232,95,0,27,57,76,108,59,0,16,39,55,77,45,0,11,18,21,31,14
20241,A,골목상권,3110120,서울숲카페거리,119,90,29,0,19,24,25,27,24,0,13,17,17,21,22,0,6,7,8,6,2
20241,A,골목상권,3110121,한양대역 4번,52,37,15,0,1,10,18,17,6,0,0,6,12,13,6,0,1,4,6,4,0
20241,A,골목상권,3110122,마장역 2번,824,585,239,0,67,147,189,272,149,0,41,102,138,193,111,0,26,45,51,79,38
20241,A,골목상권,3110123,마장역 3번,670,478,192,0,54,118,154,224,120,0,32,82,114,158,92,0,22,36,40,66,28
20241,A,골목상권,3110124,뚝섬역교차로,1099,760,339,0,174,224,231,241,229,0,104,149,150,172,185,0,70,75,81,69,44
20241,A,골목상권,3110125,사근동살곶이상점가,76,59,17,0,1,13,28,24,10,0,0,9,20,20,10,0,1,4,8,4,0
20241,A,골목상권,3110126,서울숲역 1번,93,60,33,0,14,20,20,22,17,0,7,13,13,15,12,0,7,7,7,7,5
20241,A,골목상권,3110127,성수1가1동주민센터,379,238,141,0,47,81,85,102,64,0,22,50,54,70,42,0,25,31,31,32,22
20241,A,골목상권,3110128,성원중학교,959,602,357,0,156,233,218,221,131,0,72,145,140,152,93,0,84,88,78,69,38
20241,A,골목상권,3110129,성원어린이공원,628,437,191,0,100,127,133,138,130,0,60,85,86,100,106,0,40,42,47,38,24
20241,A,골목상권,3110130,답십리역 6번,81,50,31,0,22,24,18,12,5,0,8,16,13,8,5,0,14,8,5,4,0
20241,A,골목상권,3110131,성수동카페거리,4747,3034,1713,11,998,1328,1128,830,452,6,471,866,769,565,357,5,527,462,359,265,95
20241,A,골목상권,3110132,성수2가3동주민센터,1267,810,457,0,209,325,317,254,162,0,115,217,213,153,112,0,94,108,104,101,50
20241,A,골목상권,3110133,서울교통공사,739,456,283,3,190,211,153,114,68,0,81,140,106,73,56,3,109,71,47,41,12
20241,A,골목상권,3110134,성수119안전센터,678,437,241,0,160,203,157,109,49,0,71,133,108,79,46,0,89,70,49,30,3
