총_유동인구_수,남성_유동인구_수,여성_유동인구_수,총_직장_인구_수,남성_직장_인구_수,여성_직장_인구_수,초년_유동인구_수,중년_유동인구_수,노년_유동인구_수,초년_직장_인구_수,중년_직장_인구_수,노년_직장_인구_수,상권_구분_코드_명,기준_년분기_코드,평균매출
425390.0,218436.0,206952.0,101.0,61.0,40.0,101108.0,188356.0,135926.0,21.0,50.0,30.0,전통시장,20242,419364936.0
427581.0,218332.0,209248.0,101.0,61.0,40.0,101684.0,187435.0,138461.0,21.0,50.0,30.0,전통시장,20243,353975611.0
445280.0,223395.0,221885.0,88.0,56.0,32.0,106286.0,192120.0,146872.0,17.0,44.0,27.0,전통시장,20244,392723864.0
866586.0,401497.0,465089.0,7860.0,4812.0,3048.0,273911.0,325080.0,267594.0,1618.0,4522.0,1720.0,발달상권,20241,678177240.875
835007.0,392041.0,442967.0,7860.0,4812.0,3048.0,263110.0,316509.0,255389.0,1618.0,4522.0,1720.0,발달상권,20242,696173400.5
828678.0,386128.0,442551.0,7860.0,4812.0,3048.0,259900.0,313129.0,255649.0,1618.0,4522.0,1720.0,발달상권,20243,674677793.375
842737.0,392923.0,449813.0,8856.0,5329.0,3527.0,256939.0,321656.0,264139.0,1829.0,5107.0,1920.0,발달상권,20244,699201735.625
1831718.0,920793.0,910925.0,17297.0,10671.0,6626.0,509780.0,846941.0,474998.0,3401.0,9500.0,4396.0,발달상권,20241,2192237849.9
1793177.0,906720.0,886458.0,17297.0,10671.0,6626.0,495050.0,843048.0,455079.0,3401.0,9500.0,4396.0,발달상권,20242,2348669941.3
1769110.0,887721.0,881389.0,17297.0,10671.0,6626.0,486214.0,833584.0,449311.0,3401.0,9500.0,4396.0,발달상권,20243,2336112810.4
1780670.0,896712.0,883959.0,15763.0,9606.0,6157.0,471971.0,847353.0,461346.0,3124.0,8750.0,3889.0,발달상권,20244,2417411485.8
285090.0,145818.0,139270.0,1346.0,864.0,482.0,80287.0,130712.0,74089.0,258.0,717.0,371.0,골목상권,20241,459953002.0
274226.0,140183.0,134043.0,1346.0,864.0,482.0,76398.0,128716.0,69113.0,258.0,717.0,371.0,골목상권,20242,469074254.5
270079.0,136602.0,133478.0,1346.0,864.0,482.0,75169.0,126562.0,68349.0,258.0,717.0,371.0,골목상권,20243,479466424.0
265747.0,135434.0,130312.0,1088.0,697.0,391.0,71752.0,125269.0,68724.0,210.0,579.0,299.0,골목상권,20244,479179341.5
920465.0,428614.0,491851.0,2298.0,1320.0,978.0,297194.0,359732.0,263540.0,481.0,1334.0,483.0,골목상권,20241,195512029.0
1066679.0,514745.0,551933.0,2298.0,1320.0,978.0,351493.0,426944.0,288240.0,481.0,1334.0,483.0,골목상권,20242,37591854.0
1011962.0,486698.0,525263.0,2762.0,1584.0,1178.0,328234.0,401549.0,282179.0,575.0,1605.0,582.0,골목상권,20244,108172099.0
335343.0,154701.0,180642.0,759.0,450.0,309.0,105579.0,133460.0,96303.0,176.0,394.0,189.0,골목상권,20241,51302525.75
344824.0,159187.0,185638.0,759.0,450.0,309.0,117703.0,132282.0,94839.0,176.0,394.0,189.0,골목상권,20242,46446653.0
333682.0,154191.0,179488.0,759.0,450.0,309.0,110603.0,129336.0,93744.0,176.0,394.0,189.0,골목상권,20243,45418506.666666664
329285.0,152679.0,176606.0,280.0,165.0,115.0,108406.0,126888.0,93990.0,65.0,143.0,72.0,골목상권,20244,41565373.0
53239.0,25500.0,27738.0,494.0,290.0,197.0,17443.0,23454.0,12340.0,63.0,234.0,181.0,골목상권,20241,2458933021.0
49086.0,23714.0,25372.0,494.0,290.0,197.0,15438.0,22186.0,11463.0,63.0,234.0,181.0,골목상권,20242,2126332842.0
48693.0,23414.0,25277.0,494.0,290.0,197.0,15957.0,21708.0,11027.0,63.0,234.0,181.0,골목상권,20243,1940433563.0
50805.0,24651.0,26154.0,97.0,59.0,38.0,15939.0,22976.0,11890.0,20.0,54.0,23.0,전통시장,20244,1872950102.0
37752.0,17924.0,19828.0,9.0,5.0,4.0,15518.0,9027.0,13209.0,2.0,4.0,3.0,전통시장,20241,279225410.0
43003.0,20682.0,22319.0,9.0,5.0,4.0,19792.0,9584.0,13628.0,2.0,4.0,3.0,전통시장,20242,267127445.0
39212.0,18480.0,20733.0,9.0,5.0,4.0,15589.0,9701.0,13922.0,2.0,4.0,3.0,전통시장,20243,248242843.0
44533.0,21031.0,23503.0,82.0,47.0,35.0,19570.0,10394.0,14570.0,13.0,40.0,29.0,전통시장,20244,280638070.0
280553.0,141828.0,138725.0,758.0,448.0,310.0,66725.0,143600.0,70228.0,153.0,429.0,176.0,전통시장,20241,696211878.8571428
