기준_년분기_코드,계절,상권_구분_코드_명,상권_코드_명,매출_금액,주중_매출_금액,주말_매출_금액,남성_매출_금액,여성_매출_금액,출근_매출_금액,점심_매출_금액,퇴근_매출_금액,총_유동인구_수,남성_유동인구_수,여성_유동인구_수,출근_유동인구_수,점심_유동인구_수,퇴근_유동인구_수,주중_유동인구_수,주말_유동인구_수,총_직장_인구_수,남성_직장_인구_수,여성_직장_인구_수
20243,가을,골목상권,응암1동주민센터,1962864688.0,1482760574.0,480104114.0,786786478.0,745887269.0,113281656.0,875600161.0,973982871.0,305940,134994,170948,151554,63120,91268,215860,90080,220,122,98
20243,가을,골목상권,응봉산,215880513.0,178337037.0,37543476.0,88615902.0,114548490.0,11528617.0,113535270.0,90816626.0,178023,80463,97559,85174,42521,50330,127008,51015,365,153,212
20243,가을,발달상권,을지로입구역,44916278737.0,42106808533.0,2809470204.0,17627751231.0,11503521925.0,5296489770.0,22458581128.0,17161207839.0,847846,444308,403539,248864,396695,202288,736059,111788,46574,26960,19614
20243,가을,골목상권,역삼역 4번,189406585.0,177243056.0,12163529.0,82973814.0,44077464.0,22302383.0,92186358.0,74917844.0,619674,324062,295612,213849,242863,162962,502036,117636,1147,679,468
20243,가을,발달상권,연남동(홍대),72432851860.0,48838746794.0,23594105066.0,28697022817.0,39188725584.0,6255847132.0,28250159200.0,37926845528.0,4851035,2104325,2746710,1757514,1451751,1641770,3408279,1442757,5236,2866,2370
20243,가을,발달상권,언주역(차병원),32633412336.0,26922189341.0,5711222995.0,13594232628.0,14416870305.0,4706663299.0,17719367440.0,10207381597.0,1864201,940355,923846,734893,637564,491745,1451714,412489,11776,7141,4635
20243,가을,전통시장,광장시장(광장전통시장),23031314696.0,16640387518.0,6390927178.0,10150881295.0,11466332170.0,2713721485.0,13886865089.0,6430728122.0,516034,280617,235418,157461,227544,131029,408813,107221,4950,2774,2176
20243,가을,골목상권,광운대학교 남단,620591207.0,497895767.0,122695440.0,316640414.0,173130709.0,61145974.0,338410048.0,221035185.0,760535,438940,321595,330583,220361,209592,571993,188542,159,89,70
20243,가을,골목상권,광운대역 1번,3250170389.0,2537032807.0,713137582.0,1671033071.0,1365142105.0,424846206.0,1472247720.0,1353076463.0,430719,231870,198849,193028,109103,128588,309431,121287,198,107,91
20243,가을,골목상권,광산사거리,1684347055.0,1065186439.0,619160616.0,954561708.0,634376998.0,412902444.0,318774488.0,952670123.0,514049,237914,276134,248009,112529,153510,364671,149378,102,52,50
20243,가을,골목상권,백석중학교,110631196.0,93611665.0,17019531.0,23733710.0,86897486.0,32124657.0,41462455.0,37044084.0,762096,355440,406658,400552,152213,209330,543194,218901,198,119,79
20243,가을,골목상권,경의중앙 신촌역,1893843712.0,1311734483.0,582109229.0,712835515.0,1062652930.0,140616506.0,735645733.0,1017581473.0,714211,287786,426425,280239,201245,232727,508145,206068,35,19,16
20243,가을,전통시장,이촌종합시장,5576970400.0,4159483538.0,1417486862.0,2357512688.0,2440726442.0,550620697.0,1876194882.0,3150154821.0,121456,53604,67852,50956,33914,36587,89526,31927,2165,1386,779
20243,가을,골목상권,목동센트럴아이파크앞,2103462568.0,1500317439.0,603145129.0,1113273273.0,892952116.0,37320205.0,921051397.0,1145090966.0,42782,21592,21190,19689,10027,13066,30711,12072,192,114,78
20243,가을,전통시장,대림상가(청계상가),28181088050.0,27377276789.0,803811261.0,12851248227.0,6544798531.0,4770429927.0,21403670568.0,2006987555.0,64954,36815,28139,21654,26315,16984,53445,11509,75,42,33
20243,가을,전통시장,"대림골목시장(대림시장, 양지시장)",6962076373.0,4599368436.0,2362707937.0,2988230760.0,3884025568.0,1037996895.0,3591962177.0,2332117301.0,209907,92139,117768,89575,55958,64374,144988,64919,141,68,73
20243,가을,골목상권,대림갑을명가아파트,83205361.0,60021160.0,23184201.0,65327674.0,16755588.0,411208.0,14174686.0,68619467.0,127113,59504,67609,66470,23445,37199,89022,38092,28,10,18
20243,가을,발달상권,대림3동사거리,77849844715.0,72153943760.0,5695900955.0,59390299911.0,16684332994.0,13097047142.0,55940045510.0,8812752063.0,796316,394747,401570,370010,192908,233399,564681,231636,2514,1639,875
20243,가을,발달상권,은행사거리,39721330265.0,29575507143.0,10145823122.0,17742927490.0,21535923536.0,5011887244.0,18185131930.0,16524311091.0,454164,213994,240169,99930,174727,179505,318958,135204,1595,842,753
20243,가을,골목상권,백련산해모로아파트,2170447905.0,1464248024.0,706199881.0,1141196889.0,956731438.0,387532927.0,832841019.0,950073959.0,408236,183509,224726,204491,81401,122343,283838,124397,155,94,61
20243,가을,골목상권,배화여자대학교(박노수미술관),4310468640.0,2687847856.0,1622620784.0,1473519762.0,2567303186.0,186942444.0,2489236658.0,1634289538.0,1215091,491523,723568,559685,300662,354744,870277,344813,1045,673,372
20243,가을,발달상권,뱅뱅사거리,70557250315.0,59238912971.0,11318337344.0,33457796969.0,24670947795.0,10813300166.0,35578524723.0,24165425426.0,2342505,1181804,1160701,930946,784688,626870,1840235,502270,39698,25559,14139
20243,가을,전통시장,백학시장,16906517758.0,12438088425.0,4468429333.0,8988327598.0,7433899272.0,3054133035.0,6243160913.0,7609223810.0,655527,323537,331989,233857,200084,221589,470475,185051,181,95,86
20243,가을,전통시장,백운시장,13000832.0,11710270.0,1290562.0,2135592.0,8982108.0,888347.0,7282518.0,4829967.0,70384,30904,39480,38905,12597,18882,49269,21115,47,24,23
20243,가을,골목상권,역촌노인복지관,4271486301.0,3361910868.0,909575433.0,1957634090.0,2229918694.0,621760969.0,1902765958.0,1746959374.0,1504000,675594,828406,767182,297651,439167,1060063,443937,420,204,216
20243,가을,골목상권,역삼월드메르디앙아파트,87314863.0,75073388.0,12241475.0,27473889.0,40409131.0,4778796.0,54535995.0,28000072.0,327671,159244,168427,160874,78936,87860,240347,87322,515,306,209
20243,가을,골목상권,역삼역 8번,1119998579.0,927004645.0,192993934.0,399993256.0,235021376.0,108667194.0,514087439.0,497243946.0,542615,288634,253980,219913,181281,141418,420308,122305,753,446,307
20243,가을,골목상권,응암동우체국,10217220953.0,7598196501.0,2619024452.0,4549406325.0,4569257307.0,1646423843.0,4665691145.0,3905105965.0,1392531,638116,754415,745821,242214,404496,983820,408710,369,236,133
20243,가을,전통시장,이대 앞 스타트업 상점가,935429193.0,737236578.0,198192615.0,205054942.0,647514871.0,60472845.0,552883116.0,322073232.0,47676,13484,34192,18528,16784,12364,37152,10524,24,13,11
20243,가을,전통시장,이경시장,404949776.0,326168033.0,78781743.0,205912573.0,114231443.0,14076683.0,262931993.0,127941100.0,139040,65091,73949,68762,28074,42205,96297,42744,30,19,11
20243,가을,발달상권,경찰청앞교차로,3998342186.0,3480432763.0,517909423.0,1853253872.0,1440711586.0,889772313.0,2297276698.0,811293175.0,375913,187217,188695,144809,149584,81521,318742,57170,9721,5312,4409
20243,가을,골목상권,은평요양병원,5891000555.0,4258631445.0,1632369110.0,2867794477.0,2713802781.0,1288794190.0,2748329223.0,1853877142.0,454623,209857,244765,216965,104868,132791,311691,142930,265,132,133
20243,가을,골목상권,은평세무서,3891083889.0,2703434202.0,1187649687.0,2074515187.0,1379431326.0,239256130.0,1249578938.0,2402248821.0,399358,173834,225523,178435,100657,120266,283023,116335,556,300,256
20243,가을,골목상권,은평구청,5889125725.0,4251987332.0,1637138393.0,2638455353.0,2161160882.0,413407877.0,2398309298.0,3077408550.0,584403,255994,328410,252746,142853,188805,428134,156269,1007,538,469
20243,가을,발달상권,을지로4가역,39249235824.0,30070170109.0,9179065715.0,18455317371.0,8721848038.0,6190158031.0,28560622611.0,4498455182.0,668509,384533,283974,219309,276628,172569,554936,113571,3572,1939,1633
20243,가을,발달상권,을지로3가역,93952593000.0,80983492904.0,12969100096.0,46879924975.0,27180202008.0,13022127165.0,51432343582.0,29498122253.0,2032103,1120447,911654,607145,863974,560983,1704319,327783,13849,7839,6010
20243,가을,전통시장,관악중부시장,7617719138.0,5565510804.0,2052208334.0,3280859856.0,4204581886.0,1133743232.0,4297809274.0,2186166632.0,368144,169111,199034,150465,106025,111654,261988,106153,420,235,185
20243,가을,전통시장,관악종합시장(신원시장),108459073.0,86660010.0,21799063.0,23400108.0,83606106.0,11082230.0,62418925.0,34957918.0,68360,35385,32975,29547,16098,22715,46538,21821,18,11,7
20243,가을,골목상권,연가초등학교,500085306.0,375426849.0,124658457.0,277841203.0,194704863.0,83761810.0,152232366.0,264091130.0,1855941,819378,1036565,983069,380202,492672,1311776,544165,96,49,47
20243,가을,골목상권,역촌역 3번,2633505117.0,1813473043.0,820032074.0,1660007865.0,949652646.0,574203890.0,636130478.0,1423170749.0,1287720,559033,728686,650733,266166,370820,896301,391417,220,115,105
20243,가을,골목상권,역촌역 2번,90515678.0,56294251.0,34221427.0,55690499.0,33172383.0,24471064.0,14117204.0,51927410.0,133534,62601,70933,57536,31952,44046,94748,38786,35,16,19
20243,가을,발달상권,연신내역,39060524616.0,30183983921.0,8876540695.0,15069561609.0,23596596263.0,6053957775.0,20475822278.0,12530744563.0,1642212,770995,871216,655034,430813,556363,1171792,470421,1893,891,1002
20243,가을,전통시장,연신내상점가(연빛거리),36620783341.0,25771527588.0,10849255753.0,19135828076.0,17000534472.0,7165472795.0,10615263442.0,18840047104.0,1217155,572022,645133,441994,337138,438023,859387,357771,1198,612,586
20243,가을,전통시장,연서시장,15827807638.0,11744201836.0,4083605802.0,6349347671.0,9128334329.0,2208973514.0,8991968071.0,4626866053.0,179148,82848,96302,70612,48684,59853,125723,53425,3110,1491,1619
20243,가을,발달상권,목동역 8번출구,42464256768.0,31959221955.0,10505034813.0,20039369284.0,21385732984.0,5519124701.0,18531005565.0,18414126502.0,1251430,595732,655698,512414,335280,403736,895529,355901,2458,1373,1085
20243,가을,골목상권,목동역 5번,5485151094.0,4259081711.0,1226069383.0,2560800683.0,2792309776.0,754312491.0,2397232940.0,2333605663.0,203084,89480,113604,62758,69817,70510,144585,58497,291,190,101
20243,가을,골목상권,문래소공원,594339291.0,442014805.0,152324486.0,238098819.0,212792372.0,32958749.0,327892399.0,233488143.0,308208,145062,163147,136395,83411,88404,228632,79574,1464,1065,399
20243,가을,발달상권,문래동주민센터,9546646986.0,8878672738.0,667974248.0,4036214626.0,3537133495.0,1390075187.0,6641324766.0,1515247033.0,139425,68835,70591,56068,47085,36273,107146,32280,29731,21614,8117
20243,가을,골목상권,문래동사거리,1061607075.0,882626257.0,178980818.0,715565807.0,183472467.0,74856100.0,581050130.0,405700845.0,305537,153791,151747,108588,92453,104497,217556,87983,3606,2620,986
20243,가을,골목상권,문성초등학교,9184397216.0,6864542862.0,2319854354.0,4815411311.0,4102737010.0,1264625525.0,4483739888.0,3436031803.0,631160,313886,317274,292813,144833,193515,441152,190010,539,395,144
