기준_년분기_코드,상권_구분_코드_명,상권_코드_명,서비스업종,평균매출,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,총_유동인구_수,남성_유동인구_수,여성_유동인구_수,총_직장_인구_수,남성_직장_인구_수,여성_직장_인구_수,초년_유동인구_수,중년_유동인구_수,노년_유동인구_수,초년_직장_인구_수,중년_직장_인구_수,노년_직장_인구_수
20244,골목상권,상도4동주민센터,기타서비스업,215539680.0,50315895.333333336,29156078.666666668,22613259.333333332,40682298.333333336,41802091.666666664,21207907.666666668,9762149.0,691566.0,306930.0,384636.0,196.0,118.0,78.0,227270.0,226855.0,237442.0,21.0,102.0,73.0
20241,전통시장,상도도깨비 골목형상점가,기타서비스업,8897208.0,1465450.0,709326.0,687389.0,1673220.0,1574543.0,1497099.0,1290181.0,156354.0,71228.0,85127.0,56.0,34.0,22.0,44743.0,50688.0,60925.0,6.0,29.0,21.0
20242,전통시장,상도도깨비 골목형상점가,기타서비스업,7108108.0,566086.0,78447.0,1607706.0,1829668.0,1237300.0,1098174.0,690727.0,148637.0,67858.0,80781.0,56.0,34.0,22.0,42253.0,49266.0,57117.0,6.0,29.0,21.0
20243,전통시장,상도도깨비 골목형상점가,기타서비스업,7546186.0,605742.0,759869.0,828911.0,1281392.0,1412088.0,1369828.0,1288356.0,149734.0,69199.0,80534.0,56.0,34.0,22.0,43419.0,50210.0,56103.0,6.0,29.0,21.0
20244,전통시장,상도도깨비 골목형상점가,기타서비스업,9372463.0,2178260.0,202173.0,2317032.0,939403.0,1462098.0,1091736.0,1181761.0,148794.0,68991.0,79803.0,58.0,34.0,24.0,43431.0,50502.0,54861.0,6.0,32.0,20.0
20241,전통시장,상도약수골목형상점가,기타서비스업,19046621.0,1432523.0,805264.0,4204327.0,856123.0,2475128.0,6136964.0,3136292.0,186177.0,85652.0,100525.0,96.0,57.0,39.0,56439.0,61127.0,68613.0,11.0,48.0,37.0
20242,전통시장,상도약수골목형상점가,기타서비스업,80561584.0,31534389.5,8810568.5,11717144.5,2386125.5,5178047.5,19032341.5,1902967.0,173803.0,77237.0,96565.0,96.0,57.0,39.0,59116.0,54653.0,60032.0,11.0,48.0,37.0
20243,전통시장,상도약수골목형상점가,기타서비스업,135730665.5,47625649.5,28582329.5,11234316.5,18760164.5,16164290.0,9185017.0,4178898.5,160471.0,72831.0,87641.0,96.0,57.0,39.0,51404.0,50785.0,58284.0,11.0,48.0,37.0
20244,전통시장,상도약수골목형상점가,기타서비스업,188599507.0,20204755.5,74295541.5,25792237.0,13602021.5,32662515.5,4043275.5,17999160.5,161728.0,72881.0,88846.0,134.0,82.0,52.0,52485.0,50210.0,59033.0,15.0,69.0,50.0
20241,골목상권,상도역 1번,기타서비스업,47865736.0,3263573.0,19944057.0,9065480.0,15592626.0,0.0,0.0,0.0,179780.0,84199.0,95582.0,249.0,142.0,107.0,70969.0,53646.0,55166.0,39.0,121.0,89.0
20242,골목상권,상도역 1번,기타서비스업,58623439.0,9065480.0,31910491.0,3626192.0,14021276.0,0.0,0.0,0.0,187868.0,87491.0,100377.0,249.0,142.0,107.0,78110.0,54512.0,55245.0,39.0,121.0,89.0
20243,골목상권,상도역 1번,기타서비스업,24965402.5,0.0,2816342.5,6587582.0,8671713.0,3626192.0,3263573.0,0.0,184516.0,86332.0,98183.0,249.0,142.0,107.0,72769.0,54681.0,57066.0,39.0,121.0,89.0
20244,골목상권,상도역 1번,기타서비스업,19429416.0,4532740.5,3263573.0,2961390.0,8671712.5,0.0,0.0,0.0,193896.0,90018.0,103878.0,367.0,213.0,154.0,78086.0,56412.0,59401.0,58.0,179.0,130.0
20241,골목상권,상도역 2번,기타서비스업,307635736.3333333,55367445.333333336,36860524.333333336,54203477.0,46075001.0,53783797.0,22955612.666666668,38389879.0,595128.0,271414.0,323713.0,129.0,69.0,60.0,229711.0,189073.0,176344.0,14.0,67.0,48.0
20242,골목상권,상도역 2번,기타서비스업,344167419.0,39716777.666666664,64000195.333333336,39945417.0,65258985.666666664,77792390.33333333,35344110.666666664,22109542.333333332,575071.0,263918.0,311154.0,129.0,69.0,60.0,221773.0,183185.0,170115.0,14.0,67.0,48.0
20243,골목상권,상도역 2번,기타서비스업,310378377.0,35691566.0,61726202.0,42260672.0,51798540.0,56017065.333333336,37551179.666666664,25333152.0,541366.0,250513.0,290853.0,129.0,69.0,60.0,201862.0,172530.0,166975.0,14.0,67.0,48.0
20244,골목상권,상도역 2번,기타서비스업,270860190.0,47372874.333333336,52776187.0,27081017.666666668,37849331.666666664,32310447.333333332,52510745.666666664,20959586.333333332,568980.0,263702.0,305278.0,169.0,87.0,82.0,216352.0,179172.0,173456.0,16.0,89.0,64.0
20241,골목상권,상도역 5번,기타서비스업,360605533.8181818,62837668.27272727,59253584.36363637,56568074.45454545,47594822.0,79279339.63636364,50328688.63636363,4743356.454545454,1382037.0,643672.0,738366.0,654.0,379.0,275.0,577584.0,339383.0,465070.0,104.0,316.0,234.0
20242,골목상권,상도역 5번,기타서비스업,334284742.7,68131084.9,41799644.5,49215487.5,55985594.7,62029644.4,49785645.0,7337641.7,1384355.0,645855.0,738500.0,654.0,379.0,275.0,618629.0,332060.0,433664.0,104.0,316.0,234.0
20243,골목상권,상도역 5번,기타서비스업,363198677.2,78832776.4,66117489.2,56169106.7,70334432.2,53960675.6,33057678.9,4726518.2,1397247.0,657798.0,739448.0,654.0,379.0,275.0,584439.0,341855.0,470953.0,104.0,316.0,234.0
20244,골목상권,상도역 5번,기타서비스업,383065389.8,51785137.5,87124822.8,58478344.6,61791332.1,59861193.5,58869965.2,5154594.1,1534483.0,722180.0,812304.0,1000.0,576.0,424.0,668978.0,366852.0,498653.0,159.0,490.0,351.0
20241,전통시장,상도전통시장,기타서비스업,286316717.4285714,49854835.85714286,52281819.71428572,44049203.85714286,50210212.428571425,47925440.28571428,34924588.14285714,7070617.142857143,240760.0,110063.0,130697.0,311.0,179.0,132.0,83286.0,61914.0,95560.0,51.0,151.0,109.0
20242,전통시장,상도전통시장,기타서비스업,305875856.5,61664727.0,53588130.666666664,53531666.833333336,42626413.833333336,52411719.333333336,34966815.166666664,7086383.666666667,219026.0,100463.0,118565.0,311.0,179.0,132.0,77224.0,56198.0,85606.0,51.0,151.0,109.0
20243,전통시장,상도전통시장,기타서비스업,374616092.8,83299786.8,71317968.4,44636740.4,61317187.0,70296959.8,33297473.2,10449977.2,206934.0,96862.0,110074.0,311.0,179.0,132.0,69344.0,53757.0,83833.0,51.0,151.0,109.0
20244,전통시장,상도전통시장,기타서비스업,331987883.2,57505393.0,52243753.4,32065156.0,53403203.0,68233093.2,55904663.8,12632620.8,204691.0,95230.0,109461.0,564.0,324.0,240.0,68190.0,52892.0,83609.0,90.0,274.0,200.0
